title	types	title	types	title	types	title	types	title	tyoes	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types
剃头匠	剧情	射雕英雄传之东成西就	喜剧	蝙蝠侠：侠影之谜	动作	幸福终点站	爱情	十分钟年华老去：大提琴篇	科幻	驯龙高手	动画	煦阳岭的疑云	悬疑	恐怖游轮	惊悚	美学绅士	恐怖	冰山的阴影	纪录片	天水围的日与夜	家庭	花火	犯罪	铁扇公主	奇幻	恶童	冒险
女人步上楼梯时	剧情	头脑特工队	喜剧	罪恶之城	动作	时空恋旅人	爱情	机动警察剧场版1	科幻	头脑特工队	动画	源代码	悬疑	变脸	惊悚	克苏鲁的呼唤	恐怖	登天之路：西藏开山大运输	纪录片	狼的孩子雨和雪	家庭	热天午后	犯罪	浮士德	奇幻	宾虚	冒险
丛林赤子心	剧情	幸福终点站	喜剧	暗战	动作	碧海蓝天	爱情	他人之颜	科幻	借东西的小人阿莉埃蒂	动画	恐怖游轮	悬疑	无间道2	惊悚	蜂窝谜案	恐怖	猫咪物语5	纪录片	天伦之旅	家庭	青之炎	犯罪	阿赫迈德王子历险记	奇幻	狐狸与我	冒险
情迷意乱	剧情	无敌破坏王	喜剧	神探	动作	东邪西毒：终极版	爱情	星际宝贝史迪奇	科幻	无敌破坏王	动画	换子疑云	悬疑	蝙蝠侠：侠影之谜	惊悚	厄舍古厦的倒塌	恐怖	万物与虚无	纪录片	我们天上见	家庭	西部往事	犯罪	吹笛子的男人	奇幻	小马王	冒险
士兵之歌	剧情	时空恋旅人	喜剧	黄海	动作	蓝白红三部曲之红	爱情	领航员	科幻	萤火虫之墓	动画	一级恐惧	悬疑	罪恶之城	惊悚	恋马狂	恐怖	人体奥妙之细胞的暗战	纪录片	内布拉斯加	家庭	虎豹小霸王	犯罪	爱丽丝漫游奇境	奇幻	史崔特先生的故事	冒险
无言的山丘	剧情	大佛普拉斯	喜剧	守望者	动作	弗里达	爱情	神秘博士：瑞芙·桑恩的丈夫们	科幻	我在伊朗长大	动画	守望者	悬疑	神探	惊悚	焦虑	恐怖	帝企鹅宝宝的生命轮回之旅	纪录片	东京塔	家庭	敲开天堂的门	犯罪	权力的游戏：非赢即死	奇幻	钢铁巨人	冒险
纽伦堡的审判	剧情	上帝也疯狂	喜剧	星球大战	动作	面子	爱情	飞出个未来大电影2：万背之兽	科幻	疯狂约会美丽都	动画	狗镇	悬疑	追击者	惊悚	逃出绝命镇	恐怖	Oasis:Definitely Maybe	纪录片	亚当斯一家的价值观	家庭	杀手	犯罪	香水	奇幻	虎豹小霸王	冒险
战争与和平	剧情	芝加哥	喜剧	盗火线	动作	野草莓	爱情	不可容忍：入侵	科幻	魔术师	动画	最佳出价	悬疑	换子疑云	惊悚	死神来了	恐怖	温布利：足球回家	纪录片	霹雳五号	家庭	法外之徒	犯罪	青蛇	奇幻	喜马拉雅	冒险
我不是药神	剧情	再见列宁	喜剧	天国王朝	动作	一夜风流	爱情	复仇者联盟	科幻	河童之夏	动画	蓝白红三部曲之白	悬疑	狗镇	惊悚	僵尸肖恩	恐怖	戏里戏外的大侦探波罗	纪录片	母亲	家庭	布朗克斯的故事	犯罪	暖暖内含光	奇幻	北壁	冒险
怦然心动	剧情	疯狂约会美丽都	喜剧	喋血双雄	动作	西伯利亚的理发师	爱情	钢铁侠	科幻	我的邻居山田君	动画	暗花	悬疑	盗火线	惊悚	生化危机2：启示录	恐怖	映像诗：日本里山神秘水上花园	纪录片	看狗在说话	家庭	天国与地狱	犯罪	土拨鼠之日	奇幻	兽兵卫忍风帖	冒险
当幸福来敲门	剧情	河童之夏	喜剧	阿基拉	动作	桃色公寓	爱情	X战警：逆转未来	科幻	伦敦一家人	动画	金色梦乡	悬疑	喋血双雄	惊悚	理发师陶德	恐怖	绅士流浪汉	纪录片	摄影师	家庭	啤酒谋杀案	犯罪	亚当斯一家	奇幻	碧血金沙	冒险
少年派的奇幻漂流	剧情	我的邻居山田君	喜剧	荒野大镖客	动作	黄昏的清兵卫	爱情	变形金刚	科幻	原始星球	动画	误杀瞒天记	悬疑	危情十日	惊悚	招魂2	恐怖	平克弗洛伊德音乐传记.月之阴暗面	纪录片	耶稣传	家庭	纸月亮	犯罪	八部半	奇幻	落叶	冒险
飞屋环游记	剧情	面子	喜剧	精武门	动作	开罗紫玫瑰	爱情	后天	科幻	冬之蝉	动画	唐人街	悬疑	唐人街	惊悚	电锯惊魂4	恐怖	简·方达的五幕戏	纪录片	友情天地	家庭	世界旦夕之间	犯罪	柏林苍穹下	奇幻	母亲的城堡	冒险
罗马假日	剧情	骗中骗	喜剧	空山灵雨	动作	呼喊与细语	爱情	第九区	科幻	天才嘉年华	动画	独行杀手	悬疑	孟买酒店	惊悚	鬼影	恐怖	中国之食文化	纪录片	文森特与我	家庭	男人的争斗	犯罪	正义联盟：闪点悖论	奇幻	德尔苏·乌扎拉	冒险
搏击俱乐部	剧情	一夜风流	喜剧	战国英豪	动作	罗密欧与朱丽叶	爱情	X战警：第一战	科幻	她的回忆	动画	405谋杀案	悬疑	精武门	惊悚	电锯惊魂6	恐怖	同行：奥兰多特别篇	纪录片	美国丽人	家庭	不设限通缉	犯罪	蜘蛛巢城	奇幻	黑骏马	冒险
闻香识女人	剧情	西伯利亚的理发师	喜剧	盗信情缘	动作	街角的商店	爱情	铁甲钢拳	科幻	皱纹	动画	足迹	悬疑	气球	惊悚	生人勿进	恐怖	穹顶之下	纪录片	少年时代	家庭	谋杀启事	犯罪	雨月物语	奇幻	小猫的故事	冒险
指环王1：魔戒再现	剧情	桃色公寓	喜剧	飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎	动作	党同伐异	爱情	无姓之人	科幻	指环王	动画	泯灭天使	悬疑	独行杀手	惊悚	双宝斗恶魔	恐怖	家园	纪录片	开心家族	家庭	香水	犯罪	爱丽丝梦游仙境	奇幻	看狗在说话	冒险
美丽心灵	剧情	开罗紫玫瑰	喜剧	忍者小英雄	动作	一九零零	爱情	最终幻想7：圣子降临	科幻	悲伤的贝拉多娜	动画	饥饿海峡	悬疑	405谋杀案	惊悚	群尸玩过界	恐怖	大同	纪录片	弱点	家庭	猜火车	犯罪	圣山	奇幻	阿赫迈德王子历险记	冒险
狮子王	剧情	甜蜜的生活	喜剧	红海行动	动作	铁达尼号沉没记	爱情	人猿星球	科幻	龙子太郎	动画	马布斯博士的遗嘱	悬疑	足迹	惊悚	僵尸叔叔	恐怖	地球之盐	纪录片	少年斯派维的奇异旅行	家庭	阿飞正传	犯罪	圣血	奇幻	宾虚	冒险
死亡诗社	剧情	黄阿丽：小眼镜蛇	喜剧	西游记之大圣归来	动作	生命是个奇迹	爱情	大都会	科幻	两头笨狗	动画	无人生还	悬疑	过客	惊悚	最后的吸血鬼	恐怖	抢救切尔诺贝利	纪录片	阿郎的故事	家庭	无耻混蛋	犯罪	审判	奇幻	小熊维尼:寻找克里斯多夫罗宾	冒险
指环王2：双塔奇兵	剧情	阿玛柯德	喜剧	速度与激情7	动作	天堂的孩子	爱情	妙想天开	科幻	我的英雄学院 第2季：英雄笔记	动画	救命！	悬疑	柏林谍影	惊悚	战栗黑洞	恐怖	乡村里的中国	纪录片	结婚礼服	家庭	发条橙	犯罪	三生计	奇幻	荒野有情天	冒险
拯救大兵瑞恩	剧情	摇滚芭比	喜剧	金刚狼3：殊死一战	动作	舞台春秋	爱情	闪电奇迹	科幻	丁丁历险记之太阳神的囚徒	动画	调音师	悬疑	恶汉甜梦	惊悚	双峰：与火同行	恐怖	福原爱：镜头下的四分之一个世纪	纪录片	那山那人那狗	家庭	偷拐抢骗	犯罪	星际5555：异星梦系统秘传	奇幻	权力的游戏：非赢即死	冒险
音乐之声	剧情	街角的商店	喜剧	碟中谍4	动作	解放	爱情	老人Z	科幻	我的妹妹小桃子	动画	穆赫兰道	悬疑	焚尸人	惊悚	夜深血红	恐怖	蒙哥	纪录片	大河恋	家庭	金福南杀人事件始末	犯罪	救命！	奇幻	神偷奶爸	冒险
何以为家	剧情	早安	喜剧	霍比特人3：五军之战	动作	真爱至上	爱情	变形金刚大电影	科幻	神奇独角马	动画	暴裂无声	悬疑	调音师	惊悚	倩女幽魂	恐怖	永远的车神	纪录片	克莱默夫妇	家庭	盲山	犯罪	功夫	奇幻	冰川时代	冒险
穿条纹睡衣的男孩	剧情	毕加索的奇异旅程	喜剧	霍比特人2：史矛革之战	动作	东邪西毒	爱情	机器人嘉年华	科幻	乱马1/2合集	动画	赎罪	悬疑	速度与激情7	惊悚	瓦莱莉和她的奇迹一周	恐怖	人生七年7	纪录片	迫在眉梢	家庭	王牌对王牌	犯罪	哈利·波特与密室	奇幻	荒岛余生	冒险
小森林 夏秋篇	剧情	生命是个奇迹	喜剧	热血警探	动作	花样年华	爱情	飞出个未来大电影4：绿色狂想	科幻	绿野仙踪	动画	血观音	悬疑	碟中谍4	惊悚	科学怪人的新娘	恐怖	猫咪物语2	纪录片	回家的路	家庭	美国X档案	犯罪	哈利·波特与阿兹卡班的囚徒	奇幻	角斗士	冒险
一一	剧情	凡尔杜先生	喜剧	英雄本色2	动作	穿越时空的少女	爱情	蝙蝠侠超人大电影-最佳搭档	科幻	超能陆战队	动画	嫌疑人X的献身	悬疑	穆赫兰道	惊悚	惊魂记2	恐怖	最后的狮子	纪录片	亚当斯一家	家庭	尼罗河上的惨案	犯罪	悬崖上的金鱼姬	奇幻	了不起的狐狸爸爸	冒险
小森林 冬春篇	剧情	生命的舞动	喜剧	精武英雄	动作	卡萨布兰卡	爱情	化身博士	科幻	怪兽电力公司	动画	罪恶之家	悬疑	银翼杀手2049	惊悚	犬神家族	恐怖	伍德斯托克音乐节1969	纪录片	余生的第一天	家庭	杀死一只知更鸟	犯罪	我的个神啊	奇幻	少年斯派维的奇异旅行	冒险
我爱你	剧情	舞台春秋	喜剧	星球大战前传3：西斯的复仇	动作	廊桥遗梦	爱情	奈克瑟斯奥特曼剧场版	科幻	蜘蛛侠：平行宇宙	动画	黑洞频率	悬疑	夜访吸血鬼	惊悚	寂静岭	恐怖	如何死亡：西蒙的抉择	纪录片	二手狮王	家庭	迫在眉梢	犯罪	胭脂扣	奇幻	启示	冒险
大独裁者	剧情	警察与小偷	喜剧	星球大战2：帝国反击战	动作	千年女优	爱情	小王子	科幻	魔女宅急便	动画	魔鬼代言人	悬疑	落水狗	惊悚	死寂	恐怖	超音速	纪录片	海蒂	家庭	回家的路	犯罪	美女与野兽	奇幻	朝圣之路	冒险
莫娣	剧情	两头笨狗	喜剧	监狱风云	动作	不一样的天空	爱情	直到世界尽头	科幻			异次元骇客	悬疑	夜行者	惊悚	断头谷	恐怖	遥远星球的孩子	纪录片	秋日和	家庭	水牛城66	犯罪	百变狸猫	奇幻	海绵宝宝历险记	冒险
红鳉鱼	剧情	千面佳人	喜剧	太极旗飘扬	动作	岁月的童话	爱情	一九八四	科幻			谜一样的双眼	悬疑	银翼杀手	惊悚	伊甸湖	恐怖	敦煌莫高窟 美の全貌·上篇·重现大唐帝国的辉煌	纪录片	待客之道	家庭	迷恋荷尔蒙	犯罪	凯尔经的秘密	奇幻	虎兄虎弟	冒险
从海底出击	剧情	三个臭皮匠	喜剧	星球大战3：绝地归来	动作	布达佩斯之恋	爱情	复仇者联盟3：无限战争	科幻			东方快车谋杀案	悬疑	魔鬼代言人	惊悚	黑暗侵袭	恐怖	黎明墙	纪录片	在瑞士的日子	家庭	双重赔偿	犯罪	第七封印	奇幻	正义联盟：闪点悖论	冒险
大都会	剧情	谁在那儿歌唱？	喜剧	一个字头的诞生	动作	走出非洲	爱情	银河护卫队	科幻			蝴蝶梦	悬疑	异次元骇客	惊悚	电锯惊魂5	恐怖	维多利亚的秘密2005时装秀	纪录片	冰上轻驰	家庭	自由作家	犯罪	借着雨点说爱你	奇幻	爱丽丝梦游仙境	冒险
大路	剧情	行骗天下 剧场版	喜剧	猛龙过江	动作	爱	爱情	明日边缘	科幻			不良教育	悬疑	黑皮书	惊悚	电锯惊魂7	恐怖	红色翅膀：火烈鸟故事	纪录片	平安夜	家庭	杀死比尔整个血腥事件	犯罪	资产阶级的审慎魅力	奇幻	午夜狂奔	冒险
光荣之路	剧情	瑞奇·热维斯：人性	喜剧	卡桑德拉大桥	动作	安妮·霍尔	爱情	云图	科幻			阳光下的罪恶	悬疑	苦月亮	惊悚	异形4	恐怖	敦煌莫高窟 美の全貌·下篇·千年祈祷的殿堂	纪录片	波莉安娜	家庭	烈焰焚币	犯罪	怪谈	奇幻	意大利人在俄罗斯的奇遇	冒险
永恒和一日	剧情	超能陆战队	喜剧	白色严冬	动作	花火	爱情	猩球崛起	科幻			第三人	悬疑	疤面煞星	惊悚	驱魔人	恐怖	地球生灵	纪录片	黄鼠狼威索	家庭	午夜狂奔	犯罪	秘密花园	奇幻	圣山	冒险
乡愁	剧情	真爱至上	喜剧	蝙蝠侠：红影迷踪	动作	迷魂记	爱情	侏罗纪公园	科幻			尼罗河上的惨案	悬疑	不良教育	惊悚	故事的故事	恐怖	我心不老	纪录片	彩虹照耀	家庭	恶魔	犯罪	画之国	奇幻	新灵犬莱西	冒险
卡比利亚之夜	剧情	怪兽电力公司	喜剧	奏鸣曲	动作	恋恋风尘	爱情	黑衣人	科幻			极地恋人	悬疑	猛龙过江	惊悚	生化危机：诅咒	恐怖	大卫·鲍伊：五年	纪录片	被盗的飞船	家庭	特写	犯罪	爱丽丝	奇幻	父亲的荣耀	冒险
神女	剧情	完美陌生人	喜剧	关山飞渡	动作	洛奇	爱情	我，机器人	科幻			奇遇	悬疑	真相至上	惊悚	灵魂摆渡之风华绝代	恐怖	乔治·哈里森：活在物质世界	纪录片	飞天万能床	家庭	仁心与冠冕	犯罪	泯灭天使	奇幻	雪地黄金犬	冒险
我的父亲，我的儿子	剧情	海盗电台	喜剧	日落黄沙	动作	青之炎	爱情	十二猴子	科幻			乡村牧师日记	悬疑	大佬	惊悚	金田一少年事件簿之上海人鱼传说	恐怖	迷墙	纪录片	亲爱的	家庭	审判	犯罪	砂制时镜下的疗养院	奇幻	冰上轻驰	冒险
镜子	剧情	遗愿清单	喜剧	喊山	动作	小城之春	爱情	蜘蛛侠：英雄远征	科幻			有你我不怕	悬疑	M就是凶手	惊悚	异教徒	恐怖	随他去吧	纪录片	相爱相亲	家庭	洛可兄弟	犯罪	奥菲斯	奇幻	新灵犬莱西	冒险
将军号	剧情	谁先爱上他的	喜剧	机动警察剧场版1	动作	小马王	爱情	异形	科幻			阳光下的罪恶	悬疑	卡桑德拉大桥	惊悚	魔诫坟场	恐怖	情热大陆  长濑智也篇	纪录片	推手	家庭	审问	犯罪	如此美好的一天	奇幻	星际5555：异星梦系统秘传	冒险
我是	剧情	巴黎淘气帮	喜剧	孟菲斯美女号	动作	寂寞芳心	爱情	终结者	科幻			葬礼之后	悬疑	第三人	惊悚	异形奇花	恐怖	恒星七纪	纪录片	养家之人	家庭	埃奇威尔爵士之死	犯罪	三个老兵	奇幻	雪行者	冒险
婚姻生活	剧情	回到未来	喜剧	飞出个未来大电影2：万背之兽	动作	查令十字街84号	爱情	银河系漫游指南	科幻			悬崖山庄奇案	悬疑	蝙蝠侠：红影迷踪	惊悚	是谁让我脑死了	恐怖	他们在岛屿写作：如歌的行板	纪录片	麦兜·我和我妈妈	家庭	赫尔克里的丰功伟绩	犯罪	萨拉戈萨手稿	奇幻	奇幻核子战	冒险
横空出世	剧情	蝴蝶	喜剧	菜鸟总动员：毕业	动作	解构爱情狂	爱情	升级	科幻			蛇	悬疑	红圈	惊悚	流浪者之歌	恐怖	子宫日记：动物篇	纪录片	贝利叶一家	家庭	一级谋杀	犯罪	一只名叫痛苦的狗	奇幻	王牌特工：特工学院	冒险
金猴降妖	剧情	安妮·霍尔	喜剧	福禄双霸天	动作	隐藏的恋情	爱情	星球大战前传1：幽灵的威胁	科幻			高尔夫球场的疑云	悬疑	野良犬	惊悚	慑魄惊魂	恐怖			国际市场	家庭	煦阳岭的疑云	犯罪	未了阴阳情	奇幻	火星救援	冒险
流浪者之歌	剧情	小情人	喜剧	最臭兵器	动作	浮云	爱情	星际宝贝	科幻			命案目睹记	悬疑	通往绞刑架的电梯	惊悚	死人之镜	恐怖			孙子从美国来	家庭	功夫	犯罪	DC展台原创动画短篇	奇幻	哈利·波特与密室	冒险
尤里西斯的凝视	剧情	热天午后	喜剧	船长二世	动作	雁南飞	爱情	睁开你的双眼	科幻			梦幻银河	悬疑	有你我不怕	惊悚	魅影天堂	恐怖			普罗旺斯的夏天	家庭	疯狂的石头	犯罪	西游记之大圣归来	奇幻	哈利·波特与阿兹卡班的囚徒	冒险
看不见的客人(意大利版)	剧情	内布拉斯加	喜剧	粉身碎骨	动作	两个人的车站	爱情	星际旅行4：抢救未来	科幻			为年轻刽子手的辩护	悬疑	四海本色	惊悚	林中小屋	恐怖					变脸	犯罪	冰雪奇缘	奇幻	悬崖上的金鱼姬	冒险
撒旦探戈	剧情	麻将	喜剧	复仇者联盟	动作	樱花盛开	爱情	迷宫物语	科幻			天才枪手	悬疑	漩涡之外	惊悚	午夜凶铃	恐怖					速度与激情5	犯罪	霍比特人3：五军之战	奇幻	白日梦想家	冒险
我是古巴	剧情	亚当斯一家的价值观	喜剧	钢铁侠	动作	飞出个未来大电影1：班德大行动	爱情	错位	科幻			老男孩	悬疑	蛇	惊悚	潜伏	恐怖					无间道2	犯罪	霍比特人2：史矛革之战	奇幻	红猪	冒险
木更津猫眼 世界系列	剧情	钢铁巨人	喜剧	X战警：逆转未来	动作	啤酒谋杀案	爱情					电锯惊魂2	悬疑	钢铁侠	惊悚	无名女尸	恐怖					蝙蝠侠：侠影之谜	犯罪	哈利·波特与火焰杯	奇幻	星球大战	冒险
南特的雅克·德米	剧情	笑之大学	喜剧	变形金刚	动作	鸳梦重温	爱情					黑暗面	悬疑	第九区	惊悚	双瞳	恐怖					罪恶之城	犯罪	美食总动员	奇幻	辛普森一家	冒险
海蒂	剧情	音乐会	喜剧	后天	动作	母亲的城堡	爱情					目击者之追凶	悬疑	杀死比尔	惊悚	死亡录像	恐怖					暗战	犯罪	夜访吸血鬼	奇幻	小羊肖恩	冒险
绿皮书	剧情	芭萨提的颜色	喜剧	第九区	动作	影子大地	爱情					西北偏北	悬疑	逃离德黑兰	惊悚	活死人黎明	恐怖					神探	犯罪	奇怪的她	奇幻	回到未来2	冒险
V字仇杀队	剧情	王子与公主	喜剧	霍比特人1：意外之旅	动作	阿赫迈德王子历险记	爱情					爱德华大夫	悬疑	老无所依	惊悚	科学怪狗	恐怖					八恶人	犯罪	梦旅人	奇幻	凯尔经的秘密	冒险
情书	剧情	霹雳五号	喜剧	杀死比尔	动作	德黑兰43年	爱情					人猿星球	悬疑	飓风营救	惊悚	杀出个黎明	恐怖					追击者	犯罪	两生花	奇幻	摩托日记	冒险
被嫌弃的松子的一生	剧情	敲开天堂的门	喜剧	加勒比海盗2：聚魂棺	动作	被遗忘的祖先的阴影	爱情					非常公寓	悬疑	电锯惊魂2	惊悚	恶魔的艺术2：邪降	恐怖					出租车司机	犯罪	小美人鱼	奇幻	小姐与流浪汉	冒险
猫鼠游戏	剧情	解构爱情狂	喜剧	X战警：第一战	动作	十字街头	爱情					红色小提琴	悬疑	真实的谎言	惊悚	鬼宿舍	恐怖					一级恐惧	犯罪	木偶奇遇记	奇幻	大逃亡	冒险
勇敢的心	剧情	天堂陌影	喜剧	国产凌凌漆	动作	宾虚	爱情					爱你长久	悬疑	黑暗面	惊悚	驱魔	恐怖					黄海	犯罪	小飞侠	奇幻	战国英豪	冒险
春光乍泄	剧情	流星语	喜剧	铁甲钢拳	动作	童年过后一百天	爱情					去年在马里昂巴德	悬疑	天才瑞普利	惊悚	继续活下去的5个故事	恐怖					盗火线	犯罪	小熊维尼历险记	奇幻	爱丽丝	冒险
玛丽和马克思	剧情	玩乐时间	喜剧	老男孩	动作	岁月河山之我家的女人	爱情					怪宴	悬疑	目击者之追凶	惊悚	一眉道人	恐怖					暗花	犯罪	世界奇妙物语 电影特别篇	奇幻	飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎	冒险
上帝之城	剧情	无声婚礼	喜剧	飓风营救	动作	唐伯虎点秋香	爱情					名侦探柯南：章节ONE 变小的名侦探	悬疑	华盛顿邮报	惊悚	新僵尸先生	恐怖					喋血双雄	犯罪	水仙女	奇幻	南极物语	冒险
喜宴	剧情	五至七时的克莱奥	喜剧	真实的谎言	动作	贫民窟的百万富翁	爱情					半梦半醒的人生	悬疑	虎胆龙威	惊悚	康斯坦丁：恶魔之城 电影版	恐怖					危情十日	犯罪	最后的独角兽	奇幻	三个老兵	冒险
卢旺达饭店	剧情	爵士春秋	喜剧	买凶拍人	动作	傲慢与偏见	爱情					闪电奇迹	悬疑	第一滴血	惊悚	没有面孔的眼睛	恐怖					误杀瞒天记	犯罪	草迷宫	奇幻	火之战	冒险
我是山姆	剧情	落叶	喜剧	铁雨	动作	恋恋笔记本	爱情					不道德的审判	悬疑	最终幻想7：圣子降临	惊悚	妖兽都市	恐怖					唐人街	犯罪	幽灵马车	奇幻	野性的呼唤：育空的狗	冒险
地球上的星星	剧情	自由的幻影	喜剧	虎胆龙威	动作	朗读者	爱情					砂之器	悬疑	微不足道	惊悚	咒怨2 录像带版	恐怖					精疲力尽	犯罪	深坑、钟摆和希望	奇幻	DC展台原创动画短篇	冒险
勇士	剧情	飞出个未来大电影1：班德大行动	喜剧	第一滴血	动作	青蛇	爱情					桃色血案	悬疑	爱情是狗娘	惊悚	地狱无门	恐怖					盗梦特攻队	犯罪	鸟，孤儿和愚人	奇幻	碟中谍4	冒险
东京教父	剧情	纸月亮	喜剧	西北偏北	动作	阿飞正传	爱情					勇者无惧	悬疑	处刑人	惊悚	科学怪人	恐怖					处女泉	犯罪	马布斯博士的遗嘱	奇幻	海底总动员	冒险
伴我同行	剧情	母亲的城堡	喜剧	最终幻想7：圣子降临	动作	新龙门客栈	爱情					迎春阁之风波	悬疑	喋血街头	惊悚	万圣节前夜的谋杀案	恐怖					独行杀手	犯罪	幸存的生命（理论与实践）	奇幻	里约大冒险	冒险
与狼共舞	剧情	木更津猫眼 日本篇	喜剧	夺宝奇兵3	动作	悲惨世界	爱情					ABC谋杀案	悬疑	爱德华大夫	惊悚	灵魂狂欢节	恐怖					子弹横飞百老汇	犯罪	面对面	奇幻	霍比特人3：五军之战	冒险
偷自行车的人	剧情	猫和老鼠：魔法戒指	喜剧	处刑人	动作	再次出发之纽约遇见你	爱情					猎艳狂魔	悬疑	惊世狂花	惊悚	彼得堡异人写真	恐怖					杀人短片	犯罪	圣石传说	奇幻	霍比特人2：史矛革之战	冒险
自闭历程	剧情	快乐的结局	喜剧	野战排	动作	美国丽人	爱情					再见箱舟	悬疑	惊曝内幕	惊悚	猫眼看人	恐怖					盗信情缘	犯罪	为年轻刽子手的辩护	奇幻	哈利·波特与火焰杯	冒险
天佑鲍比	剧情	看狗在说话	喜剧	雌雄大盗	动作	英国病人	爱情					奇特的故事	悬疑	怪宴	惊悚	兔子	恐怖					恶汉甜梦	犯罪			犬之岛	冒险
影武者	剧情	路易·C·K：老招笑了	喜剧	魁拔Ⅲ战神崛起	动作	暖暖内含光	爱情					等爱的女孩	悬疑	水中刀	惊悚	异形：契约	恐怖					饥饿海峡	犯罪			星球大战前传3：西斯的复仇	冒险
女人，四十	剧情	特雷弗·诺亚：天黑黑心慌慌	喜剧	喋血街头	动作	土拨鼠之日	爱情					小熊维尼之长鼻怪大冒险	悬疑	闪电奇迹	惊悚	僵尸世界大战	恐怖					战火遗孤	犯罪			星球大战2：帝国反击战	冒险
雾中风景	剧情	神偷奶爸	喜剧	双旗镇刀客	动作	蓝白红三部曲之蓝	爱情					牙医之死	悬疑	不道德的审判	惊悚	幻影凶间	恐怖					圣母街上的大人物	犯罪			星球大战3：绝地归来	冒险
楢山节考	剧情	唐伯虎点秋香	喜剧	爱的曝光	动作	茜茜公主	爱情					藏书室女尸之谜	悬疑	老枪	惊悚	寄生兽	恐怖					歼匪喋血战	犯罪			回到未来3	冒险
用心棒	剧情	冰川时代	喜剧	追捕	动作	阮玲玉	爱情					遗产	悬疑	砂之器	惊悚	咒怨	恐怖					诅咒	犯罪			大坏狐狸的故事	冒险
听见天堂	剧情	小萝莉的猴神大叔	喜剧	蝙蝠侠：黑暗骑士归来(上)	动作	两小无猜	爱情					沉睡的谋杀案	悬疑	我是城堡之王	惊悚	血肉之躯	恐怖					无人生还	犯罪			小飞侠	冒险
伴你高飞	剧情	再次出发之纽约遇见你	喜剧	小倩	动作	水牛城66	爱情					小戏骨：包青天之秦香莲与陈世美	悬疑	哈姆雷特	惊悚	异度空间	恐怖					私枭血	犯罪			星际宝贝史迪奇	冒险
秋日奏鸣曲	剧情	开心家族	喜剧	龙争虎斗	动作	柏林苍穹下	爱情					白马酒店	悬疑	伸张正义	惊悚	捉迷藏	恐怖					霹雳游侠2000电影版	犯罪			旅行者与魔法师	冒险
佛兰德斯的狗	剧情	麦兜故事	喜剧	老人Z	动作	绿洲	爱情					无双	悬疑	生命的重托	惊悚	孤堡惊情	恐怖					亡命者	犯罪			领航员	冒险
死者田园祭	剧情	了不起的狐狸爸爸	喜剧	胜利之光	动作	迷恋荷尔蒙	爱情					云图	悬疑	豺狼的日子	惊悚	神秘拼图	恐怖					调音师	犯罪			狐狸与猎狗	冒险
歌厅	剧情	偷拐抢骗	喜剧	变形金刚大电影	动作	邦尼和琼	爱情					孤儿怨	悬疑	盘丝洞	惊悚	恐怖星球	恐怖					速度与激情7	犯罪			猫儿历险记	冒险
世上最快的印第安摩托	剧情	哪啊哪啊神去村	喜剧	迎春阁之风波	动作	烈焰焚币	爱情					闪灵	悬疑	碟中谍6：全面瓦解	惊悚	深空失忆	恐怖					暴裂无声	犯罪			人鱼童话	冒险
安德烈·卢布廖夫	剧情	土拨鼠之日	喜剧	天与地	动作	日瓦戈医生	爱情					我，机器人	悬疑	风声	惊悚	死神的十字路口	恐怖					嫌疑人X的献身	犯罪			黑神驹	冒险
笼民	剧情	盗钥匙的方法	喜剧	战略大作战	动作	莫斯科不相信眼泪	爱情					小姐	悬疑	孤儿怨	惊悚	入侵脑细胞	恐怖					落水狗	犯罪			战俘列车	冒险
夺命剑	剧情	茜茜公主	喜剧	红河	动作	黑猫白猫	爱情					小岛惊魂	悬疑	侏罗纪公园	惊悚	魔女嘉莉	恐怖					夜行者	犯罪			战争	冒险
哭泣的草原	剧情	机器管家	喜剧	疤面人	动作	恐惧吞噬灵魂	爱情					十二猴子	悬疑	我，机器人	惊悚	三更	恐怖					英雄本色2	犯罪			小猪大行动	冒险
大地之歌	剧情	巴斯特·斯克鲁格斯的歌谣	喜剧	奈克瑟斯奥特曼剧场版	动作	春天情书	爱情					赛末点	悬疑	罗拉快跑	惊悚	亡灵	恐怖					黑洞频率	犯罪			圣石传说	冒险
我出生了，但……	剧情	亚当斯一家	喜剧	侍	动作	法兰基，我的爱	爱情					我是谁：没有绝对安全的系统	悬疑	碟中谍	惊悚	阴风阵阵	恐怖					好家伙	犯罪			老人与猫	冒险
可玛猫	剧情	南方公园	喜剧	无双	动作	水	爱情					未知死亡	悬疑	十二猴子	惊悚	马柔本宅秘事	恐怖					监狱风云	犯罪			“下次开船”港游记	冒险
西岳奇童	剧情	交响情人梦 最终乐章 前篇	喜剧	复仇者联盟3：无限战争	动作	平凡岁月的魅力	爱情					漫长的婚约	悬疑	孤胆特工	惊悚	恐怖鸡	恐怖					谜一样的双眼	犯罪			复仇者联盟	冒险
红柿子	剧情	水牛城66	喜剧	碟中谍6：全面瓦解	动作	雨中的请求	爱情					如月疑云	悬疑	空中监狱	惊悚	黑太阳731	恐怖					东方快车谋杀案	犯罪			钢铁侠	冒险
