title	types	title	types	title	types	title	types	title	tyoes	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types	title	types
控方证人	剧情	淘金记	喜剧	极速风流	动作	生活多美好	爱情	攻壳机动队SSS	科幻	欢乐树的朋友们	动画	七宗罪	悬疑	谍影重重3	惊悚	未知者	恐怖	可爱的动物	纪录片	海蒂	家庭	流浪者之歌	犯罪	哪吒闹海	奇幻	指环王1：魔戒再现	冒险
罗密欧与朱丽叶	剧情	寻子遇仙记	喜剧	乱	动作	南海十三郎	爱情	博士之日	科幻	蜂蜜与四叶草 LF特别篇	动画	蝴蝶效应	悬疑	回忆三部曲	惊悚	电锯惊魂2	恐怖	豪斯医生完季特别篇：天鹅挽歌	纪录片	飞翔的梦	家庭	看不见的客人(意大利版)	犯罪	西力传	奇幻	狮子王	冒险
盗梦空间	剧情	马戏团	喜剧	黑客帝国动画版	动作	哀乐中年	爱情	头号玩家	科幻	欢乐树的朋友们：滑雪巡逻救生队	动画	致命魔术	悬疑	刺杀肯尼迪	惊悚	诺斯费拉图	恐怖	史蒂夫·乔布斯：遗失的访谈	纪录片	梦幻妈妈	家庭	猫鼠游戏	犯罪	金猴降妖	奇幻	指环王2：双塔奇兵	冒险
千与千寻	剧情	欢乐树的朋友们：赶尽杀绝	喜剧	蝙蝠侠：黑暗骑士归来(下)	动作	狐妖小红娘剧场版：王权富贵	爱情	阿凡达	科幻	三国志：长江的燃烧	动画	第六感	悬疑	安全至下	惊悚	化身博士	恐怖	危险之旅：短片合辑	纪录片	克拉姆一家2	家庭	上帝之城	犯罪	流浪者之歌	奇幻	哪吒闹海	冒险
忠犬八公的故事	剧情	欢乐树的朋友们	喜剧	桥	动作	芙蓉镇	爱情	蝙蝠侠：黑暗骑士崛起	科幻	寻梦环游记	动画	谍影重重3	悬疑	禁闭岛	惊悚	豺狼时刻	恐怖	井上雄彦 最后的漫画展	纪录片	喜宴	家庭	追随	犯罪	飞翔的梦	奇幻	从海底出击	冒险
放牛班的春天	剧情	欢乐树的朋友们：滑雪巡逻救生队	喜剧	攻壳机动队SSS	动作	沉静如海	爱情	2001太空漫游	科幻	飞屋环游记	动画	罗生门	悬疑	消失的爱人	惊悚	遗产	恐怖	花豹女王	纪录片	我是山姆	家庭	偷自行车的人	犯罪	哈利·波特与魔法石	奇幻	将军号	冒险
教父	剧情	我不是药神	喜剧	头号玩家	动作	淘金记	爱情	千钧一发	科幻	哈尔的移动城堡	动画	刺杀肯尼迪	悬疑	告白	惊悚	孤儿怨	恐怖	俄国人生七年1	纪录片	地球上的星星	家庭	用心棒	犯罪	幽灵公主	奇幻	哈利·波特与魔法石	冒险
熔炉	剧情	怦然心动	喜剧	阿凡达	动作	马戏团	爱情	潜行者	科幻	狮子王	动画	神探夏洛克：最后的誓言	悬疑	致命ID	惊悚	闪灵	恐怖	模糊乐队：新世界大厦	纪录片	勇士	家庭	看不见的客人	犯罪	未麻的部屋	奇幻	幽灵公主	冒险
乱世佳人	剧情	寻梦环游记	喜剧	加勒比海盗	动作	情迷意乱	爱情	原始星球	科幻	哪吒闹海	动画	卡里加里博士的小屋	悬疑	蝙蝠侠：黑暗骑士崛起	惊悚	小岛惊魂	恐怖	旅行者号：冲出太阳系	纪录片	女人，四十	家庭	七宗罪	犯罪	幻想曲	奇幻	伴我同行	冒险
城市之光	剧情	飞屋环游记	喜剧	蝙蝠侠：黑暗骑士崛起	动作	士兵之歌	爱情	她的回忆	科幻	欢乐树的朋友们：第一滴血	动画	鲸鱼马戏团	悬疑	杀人回忆	惊悚	异形	恐怖	时空冒险	纪录片	楢山节考	家庭	沉默的羔羊	犯罪	幻想曲2000	奇幻	与狼共舞	冒险
切腹	剧情	大话西游之月光宝盒	喜剧	英雄本色	动作	战争与和平	爱情	别了武器	科幻	金猴降妖	动画	禁闭岛	悬疑	电锯惊魂	惊悚	妖夜慌踪	恐怖	创造哈利·波特的世界：故事	纪录片	伴你高飞	家庭	低俗小说	犯罪	魔法阿妈	奇幻	心理游戏	冒险
